customer_id,first_purchase_date,last_purchase_date,total_orders,total_spend,avg_order_value,discount_usage_%,region,customer_segment,preferred_payment,recency_days,churn,customer_lifetime_days,spend_per_day,order_frequency,recency_group,high_value_customer,used_discount,aov_category,customer_age_days,R_score,F_score,M_score,RFM_score
CUST1000,2023-03-18,2023-06-25,4,149858,37464.5,0.0,East,Mid Value,Debit Card,1003,Yes,99,1498.58,0.04,Very Lost,1,0,High,1102,2,1,4,214
CUST1001,2023-02-04,2023-02-18,7,157299,22471.29,10.0,East,Mid Value,Credit Card,1130,Yes,14,10486.6,0.4666666666666667,Very Lost,1,1,High,1144,1,2,4,124
CUST1002,2023-04-25,2023-08-13,16,123523,7720.19,25.0,West,Mid Value,Credit Card,954,Yes,110,1112.8198198198197,0.14414414414414414,Very Lost,1,1,Medium,1064,3,4,4,344
CUST1003,2023-05-19,2023-07-03,18,10028,557.11,15.0,East,Low Value,Debit Card,995,Yes,45,218.0,0.391304347826087,Very Lost,0,1,Low,1040,2,5,1,251
CUST1004,2023-05-26,2023-11-21,19,107326,5648.74,10.0,East,High Value,Net Banking,854,No,179,596.2555555555556,0.10555555555555556,Very Lost,1,1,Low,1033,4,5,3,453
CUST1005,2023-03-31,2023-05-05,17,53695,3158.53,5.0,North,Mid Value,UPI,1054,Yes,35,1491.5277777777778,0.4722222222222222,Very Lost,0,1,Low,1089,1,4,2,142
CUST1006,2023-01-13,2023-03-06,10,117058,11705.8,10.0,West,High Value,Credit Card,1114,Yes,52,2208.6415094339623,0.18867924528301888,Very Lost,1,1,Medium,1166,1,3,3,133
CUST1007,2023-03-24,2023-08-20,11,57782,5252.91,0.0,West,Low Value,Credit Card,947,Yes,149,385.2133333333333,0.07333333333333333,Very Lost,0,0,Low,1096,3,3,2,332
CUST1008,2023-03-18,2023-11-26,13,23996,1845.85,10.0,South,Low Value,Debit Card,849,No,253,94.4724409448819,0.051181102362204724,Very Lost,0,1,Low,1102,4,3,1,431
CUST1009,2023-07-17,2023-08-21,11,150853,13713.91,5.0,West,Low Value,Net Banking,946,Yes,35,4190.361111111111,0.3055555555555556,Very Lost,1,1,Medium,981,3,3,4,334
CUST1010,2023-07-10,2023-10-28,6,78620,13103.33,10.0,East,Mid Value,UPI,878,Yes,110,708.2882882882883,0.05405405405405406,Very Lost,0,1,Medium,988,4,2,2,422
CUST1011,2023-07-01,2023-11-01,11,30582,2780.18,0.0,East,High Value,Debit Card,874,Yes,123,246.6290322580645,0.08870967741935484,Very Lost,0,0,Low,997,4,3,1,431
CUST1012,2023-05-10,2023-08-10,8,23176,2897.0,10.0,South,High Value,Debit Card,957,Yes,92,249.20430107526883,0.08602150537634409,Very Lost,0,1,Low,1049,2,2,1,221
CUST1013,2023-02-17,2023-09-05,5,158867,31773.4,20.0,North,Low Value,Net Banking,931,Yes,200,790.3830845771145,0.024875621890547265,Very Lost,1,1,High,1131,3,1,5,315
CUST1014,2023-01-03,2023-06-19,20,18149,907.45,15.0,North,Mid Value,Net Banking,1009,Yes,167,108.0297619047619,0.11904761904761904,Very Lost,0,1,Low,1176,2,5,1,251
CUST1015,2023-05-16,2024-02-15,18,22860,1270.0,15.0,South,Low Value,Net Banking,768,No,275,82.82608695652173,0.06521739130434782,Very Lost,0,1,Low,1043,5,5,1,551
CUST1016,2023-02-21,2023-09-15,15,81007,5400.47,15.0,East,Mid Value,Credit Card,921,Yes,206,391.33816425120773,0.07246376811594203,Very Lost,0,1,Low,1127,3,4,2,342
CUST1017,2023-06-05,2023-06-28,3,72117,24039.0,25.0,East,High Value,Credit Card,1000,Yes,23,3004.875,0.125,Very Lost,0,1,High,1023,2,1,2,212
CUST1018,2023-04-23,2023-06-15,3,166091,38704.20375,20.0,South,Mid Value,UPI,1013,Yes,53,3075.759259259259,0.05555555555555555,Very Lost,1,1,High,1066,2,1,5,215
CUST1019,2023-05-24,2024-02-23,10,98254,9825.4,15.0,South,Low Value,Debit Card,760,No,275,355.9927536231884,0.036231884057971016,Very Lost,0,1,Medium,1035,5,3,3,533
CUST1020,2023-03-31,2023-12-22,20,169739,8486.95,5.0,East,Low Value,UPI,823,No,266,635.7265917602996,0.0749063670411985,Very Lost,1,1,Medium,1089,5,5,5,555
CUST1021,2023-02-16,2023-04-01,3,103828,34609.33,20.0,East,High Value,Credit Card,1088,Yes,44,2307.288888888889,0.06666666666666667,Very Lost,1,1,High,1132,1,1,3,113
CUST1022,2023-03-23,2023-10-16,6,26650,4441.67,15.0,West,Low Value,Credit Card,890,Yes,207,128.125,0.028846153846153848,Very Lost,0,1,Low,1097,4,2,1,421
CUST1023,2023-05-28,2024-02-19,16,56863,3553.94,10.0,North,Low Value,Credit Card,764,No,267,212.17537313432837,0.05970149253731343,Very Lost,0,1,Low,1031,5,4,2,542
CUST1024,2023-07-12,2024-02-21,10,155045,15504.5,10.0,East,Low Value,Credit Card,762,No,224,689.0888888888888,0.044444444444444446,Very Lost,1,1,High,986,5,3,4,534
CUST1025,2023-07-16,2024-01-24,15,73943,4929.53,20.0,North,Mid Value,UPI,790,No,192,383.1243523316062,0.07772020725388601,Very Lost,0,1,Low,982,5,4,2,542
CUST1026,2023-03-15,2023-08-09,17,83985,4940.29,10.0,North,Low Value,Debit Card,958,Yes,147,567.4662162162163,0.11486486486486487,Very Lost,0,1,Low,1105,2,4,3,243
CUST1027,2023-04-26,2023-11-27,15,53482,3565.47,0.0,South,Mid Value,Debit Card,848,No,215,247.60185185185185,0.06944444444444445,Very Lost,0,0,Low,1063,4,4,2,442
